technique_id,D_raw,rule_count,D_norm,stealth_S
T1587.001,8.05131925083144,7,0.04330690741694241,0.9593288806444776
T1505.003,22.393316402848438,15,0.12045048146815292,0.8978830270380548
T1070,13.048674748425622,17,0.07018697577859759,0.9364756914402839
T1505.002,1.0846450839518924,3,0.005834152487009577,0.9942164443740911
T1550.002,3.2724961977398572,5,0.017602294163553484,0.9828500836866065
T1021.004,0.8283022165960001,2,0.004455320462378488,0.9955742494385557
T1012,7.867750734666689,9,0.04231951833366995,0.9602010715098386
T1098,8.078475600993189,13,0.04345297758328384,0.9592000569482705
T1207,0.7803552045207032,2,0.004197420266376513,0.9958288358159811
T1021.002,26.513669276268068,31,0.142613276763581,0.8823648891574863
T1222.001,1.541079903098676,2,0.008289250817959172,0.9918125047959298
T1087,22.548203174497875,13,0.12128359550461824,0.8972842017157051
T1114,2.32012858525919,2,0.012479643485363625,0.9877495209237096
T1059,49.32380462452288,55,0.2653057683813721,0.80951090665948
T1053.002,1.1590262677232954,2,0.00623423835353612,0.9938235003604774
T1070.001,4.9539508747412135,6,0.026646601034773718,0.9743760879050928
T1123,2.9195177302938164,4,0.015703672914833117,0.9846574166064767
T1543.003,40.236215970924434,35,0.2164249144239287,0.8361790186690811
T1569.002,28.42077037800847,35,0.15287130383650963,0.8754607861234809
T1027.001,0.5545177444479562,1,0.0029826725126294623,0.9970306103645244
T1021.003,9.713183586589707,9,0.05224584061360699,0.9515410807080626
T1112,56.497870914799336,73,0.30389405620810633,0.7902919181693125
T1562,15.238224679673182,19,0.08196425515396437,0.9269746570076597
T1091,0.23104906018664842,1,0.0012427802135956093,0.9987595320703424
T1053.005,36.90695834619946,30,0.19851730857334401,0.8466789575396862
T1136.001,5.517570822828097,8,0.029678233013299464,0.9715846861469458
T1134,2.3206806240191113,2,0.01248261282376913,0.9877466596121077
T1134.001,9.69117323539941,9,0.05212745004784795,0.9516429693790146
T1554,2.5864639751651066,3,0.013912223875381035,0.9863719525029211
T1027,75.61800748566837,84,0.4067385663408291,0.7455598454122992
